Paper_ES	Paper_ID	Paper	Host_spp	Host_strain	Host_family	Symbiont_spp	Symbio_line	Symbio_type	Symbio_introgression	Temperature	Rearing	Nutrition	Competition	Uninfected_symbio_strain	Experiment	Sex	Stage	Measure	Group_measure	N_t	Mean_t	SD_t	N_c	Mean_c	SD_c	Obs
P0634	P005	Ahmed_et_al_2015	Bemisia_tabaci	NA	Other	Wolbachia	NA	Natural	Natural	26	Hibiscus	NA	NA	Natural	Lab	Female	Adult	Fecundity	Fecundity	40	114	58.8	40	105.9	60.71	NA
P0819	P005	Ahmed_et_al_2015	Bemisia_tabaci	NA	Other	Wolbachia	NA	Natural	Natural	26	Hibiscus	NA	NA	Natural	Lab	NA	Adult	Longevity	Survival	40	15	4.05	40	12.5	3.82	NA
P0936	P005	Ahmed_et_al_2015	Bemisia_tabaci	NA	Other	Wolbachia	NA	Natural	Natural	26	Hibiscus	NA	NA	Natural	Lab	Female	Immature	Development_time	Development_time	40	17.74	0.28	40	18.87	0.235	NA
P0761	P006	Alexandrov_et_al_2006	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	NA	Natural	Natural	25	Standard	NA	NA	Antibiotic	Lab	Female	Adult	Longevity	Survival	40	60.37	2.42	40	51.25	21.56673364	NA
P0762	P006	Alexandrov_et_al_2006	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	NA	Natural	Natural	25	Standard	NA	NA	Antibiotic	Lab	Female	Adult	Longevity	Survival	40	60.37	2.42	40	50.75	22.13594362	NA
P0154	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbA	Not_natural	Microinjection	27	Sucrose_solution	NA	NA	Natural	Lab	Female	Adult	Longevity	Survival	100	35.1	12.11284229	100	57.91	17.46465729	From_survival_curve
P0155	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbB	Not_natural	Microinjection	27	Sucrose_solution	NA	NA	Natural	Lab	Female	Adult	Longevity	Survival	100	46.83	16.16080924	100	57.91	17.46465729	From_survival_curve
P0156	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wAu	Not_natural	Microinjection	27	Sucrose_solution	NA	NA	Natural	Lab	Female	Adult	Longevity	Survival	100	39.66	13.6864765	100	57.91	17.46465729	From_survival_curve
P0157	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	Microinjection	27	Sucrose_solution	NA	NA	Natural	Lab	Female	Adult	Longevity	Survival	100	56.48	19.49097813	100	57.91	17.46465729	From_survival_curve
P0446	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbA	Not_natural	Microinjection	27	Sucrose_solution	NA	NA	Natural	Lab	Female	Adult	Fecundity	Fecundity	20	95.21	19.901005	20	89.45	15.16054089	NA
P0448	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbB	Not_natural	Microinjection	27	Sucrose_solution	NA	NA	Natural	Lab	Female	Adult	Fecundity	Fecundity	20	88.048	29.15385429	20	89.45	15.16054089	NA
P0449	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wAu	Not_natural	Microinjection	27	Sucrose_solution	NA	NA	Natural	Lab	Female	Adult	Fecundity	Fecundity	20	93.48	13.5952933	20	89.45	15.16054089	NA
P0450	P022	Ant_et_al_2018	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	Microinjection	27	Sucrose_solution	NA	NA	Natural	Lab	Female	Adult	Fecundity	Fecundity	20	88.86	21.86874482	20	89.45	15.16054089	NA
P1268	P209	Arai_et_al_2019	Homona_magnanima	NA	Other	Wolbachia	wHmabc	Natural	Natural	25	Silkmate_Insecta	NA	NA	Antibiotic	Lab	Male	Immature	Development_time	Development_time	53	19.2	0.33	45	20.7	0.44	NA
P1269	P209	Arai_et_al_2019	Homona_magnanima	NA	Other	Wolbachia	wHma	Natural	Natural	25	Silkmate_Insecta	NA	NA	Antibiotic	Lab	Male	Immature	Development_time	Development_time	47	20.4	0.47	45	20.7	0.44	NA
P1270	P209	Arai_et_al_2019	Homona_magnanima	NA	Other	Wolbachia	wHmb	Natural	Natural	25	Silkmate_Insecta	NA	NA	Antibiotic	Lab	Male	Immature	Development_time	Development_time	15	19.6	0.6	45	20.7	0.44	NA
P1271	P209	Arai_et_al_2019	Homona_magnanima	NA	Other	Wolbachia	wHmc	Natural	Natural	25	Silkmate_Insecta	NA	NA	Antibiotic	Lab	Male	Immature	Development_time	Development_time	30	20.3	0.46	45	20.7	0.44	NA
P1272	P209	Arai_et_al_2019	Homona_magnanima	NA	Other	Wolbachia	wHmabc	Natural	Natural	25	Silkmate_Insecta	NA	NA	Antibiotic	Lab	Female	Immature	Development_time	Development_time	54	19.5	0.17	35	21.5	0.67	NA
P1273	P209	Arai_et_al_2019	Homona_magnanima	NA	Other	Wolbachia	wHma	Natural	Natural	25	Silkmate_Insecta	NA	NA	Antibiotic	Lab	Female	Immature	Development_time	Development_time	27	21.5	0.57	35	21.5	0.67	NA
P1274	P209	Arai_et_al_2019	Homona_magnanima	NA	Other	Wolbachia	wHmb	Natural	Natural	25	Silkmate_Insecta	NA	NA	Antibiotic	Lab	Female	Immature	Development_time	Development_time	22	22.5	0.62	35	21.5	0.67	NA
P1275	P209	Arai_et_al_2019	Homona_magnanima	NA	Other	Wolbachia	wHmc	Natural	Natural	25	Silkmate_Insecta	NA	NA	Antibiotic	Lab	Female	Immature	Development_time	Development_time	39	19.4	0.19	35	21.5	0.67	NA
P1276	P209	Arai_et_al_2019	Homona_magnanima	NA	Other	Wolbachia	wHmabc	Natural	Natural	25	Silkmate_Insecta	NA	NA	Antibiotic	Lab	Male	Pupa	Weight	Body_size	48	61.7	1.08	41	59.3	1.25	NA
P1277	P209	Arai_et_al_2019	Homona_magnanima	NA	Other	Wolbachia	wHma	Natural	Natural	25	Silkmate_Insecta	NA	NA	Antibiotic	Lab	Male	Pupa	Weight	Body_size	47	56.7	1.42	41	59.3	1.25	NA
P1278	P209	Arai_et_al_2019	Homona_magnanima	NA	Other	Wolbachia	wHmb	Natural	Natural	25	Silkmate_Insecta	NA	NA	Antibiotic	Lab	Male	Pupa	Weight	Body_size	15	58.9	2.96	41	59.3	1.25	NA
P1279	P209	Arai_et_al_2019	Homona_magnanima	NA	Other	Wolbachia	wHmc	Natural	Natural	25	Silkmate_Insecta	NA	NA	Antibiotic	Lab	Male	Pupa	Weight	Body_size	30	61	1.12	41	59.3	1.25	NA
P1280	P209	Arai_et_al_2019	Homona_magnanima	NA	Other	Wolbachia	wHmabc	Natural	Natural	25	Silkmate_Insecta	NA	NA	Antibiotic	Lab	Female	Pupa	Weight	Body_size	54	94.5	1.5	36	86.1	2.1	NA
P1281	P209	Arai_et_al_2019	Homona_magnanima	NA	Other	Wolbachia	wHma	Natural	Natural	25	Silkmate_Insecta	NA	NA	Antibiotic	Lab	Female	Pupa	Weight	Body_size	22	85.8	2.76	36	86.1	2.1	NA
P1282	P209	Arai_et_al_2019	Homona_magnanima	NA	Other	Wolbachia	wHmb	Natural	Natural	25	Silkmate_Insecta	NA	NA	Antibiotic	Lab	Female	Pupa	Weight	Body_size	12	87.6	3.71	36	86.1	2.1	NA
P1283	P209	Arai_et_al_2019	Homona_magnanima	NA	Other	Wolbachia	wHmc	Natural	Natural	25	Silkmate_Insecta	NA	NA	Antibiotic	Lab	Female	Pupa	Weight	Body_size	39	94	1.89	36	86.1	2.1	NA
P1262	P165	Asiimwe_et_al_2014	Bemisia_tabaci	MEAM1	Other	Rickettsia	NA	Natural	Backcrossing	NA	Cotton_plant	NA	NA	Natural	Field	NA	Adult	Fecundity	Fecundity	16	0.13	0.44	16	0	0.1	Week_1
P0151	P023	Axford_et_al_2016	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbB	Not_natural	Microinjection	26	Sucrose_solution	NA	NA	Natural	Lab	Female	Adult	Longevity	Survival	200	49.34	17.02699825	200	72.86	21.97331946	From_survival_curve
P0152	P023	Axford_et_al_2016	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	Microinjection	26	Sucrose_solution	NA	NA	Natural	Lab	Female	Adult	Longevity	Survival	200	54.9	18.94572768	200	72.86	21.97331946	From_survival_curve
P0153	P023	Axford_et_al_2016	Aedes_aegypti	NA	Culicidae	Wolbachia	wMelPop	Not_natural	Microinjection	26	Sucrose_solution	NA	NA	Natural	Lab	Female	Adult	Longevity	Survival	200	32.89	11.35018185	200	72.86	21.97331946	From_survival_curve
P0175	P023	Axford_et_al_2016	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbB	Not_natural	Microinjection	26	Sucrose_solution	NA	NA	Natural	Lab	Male	Adult	Longevity	Survival	200	22	7.592094881	200	22	6.634820589	From_survival_curve
P0176	P023	Axford_et_al_2016	Aedes_aegypti	NA	Culicidae	Wolbachia	wMel	Not_natural	Microinjection	26	Sucrose_solution	NA	NA	Natural	Lab	Male	Adult	Longevity	Survival	200	25.06	8.64808626	200	22	6.634820589	From_survival_curve
P0177	P023	Axford_et_al_2016	Aedes_aegypti	NA	Culicidae	Wolbachia	wMelPop	Not_natural	Microinjection	26	Sucrose_solution	NA	NA	Natural	Lab	Male	Adult	Longevity	Survival	200	16.51	5.697522113	200	22	6.634820589	From_survival_curve
P0442	P023	Axford_et_al_2016	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbB	Not_natural	Microinjection	26	Sucrose_solution	NA	NA	Natural	Lab	Female	Adult	Fecundity	Fecundity	14	60.14	7.63	18	59.72	12.16	NA
P0899	P023	Axford_et_al_2016	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbB	Not_natural	Microinjection	26	Water_0,25_mg_fish_food	High	NA	Natural	Lab	Female	Immature	Development_time	Development_time	100	9.53	0.5	100	9.77	0.1	NA
P0900	P023	Axford_et_al_2016	Aedes_aegypti	NA	Culicidae	Wolbachia	wAlbB	Not_natural	Microinjection	26	Water_0,25_mg_fish_food	High	NA	Natural	Lab	Female	Immature	Development_time	Development_time	100	10.99	0.08	100	10.93	0.07	NA
