Paper_ES	Paper_ID	Paper	Host_spp	Host_strain	Host_family	Symbiont_spp	Symbio_line	Symbio_type	Symbio_introgression	Natural_enemy_spp	NE_group	NE_line	NE_type	Temperature	Rearing	NE_infection	Uninfected_symbio_strain	Experiment	Sex	Stage	Measure	Group_measure	N_t	Mean_t	SD_t	N_c	Mean_c	SD_c	Obs
P0009	P168	Braquart-Varnier_et_al_2015	Armadillidium_vulgare	NA	Other	Wolbachia	NA	Natural	Microinjection	Listeria_ivanovii	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	NA	NA	Bacterial_load	NE_load	30	590.0333333	742.7182825	30	459.3	520.8700381	Author_sent_the_data
P0010	P168	Braquart-Varnier_et_al_2015	Porciello_dilatatus	NA	Other	Wolbachia	NA	Natural	Microinjection	Listeria_ivanovii	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	NA	NA	Bacterial_load	NE_load	15	88.73333333	146.205563	12	202.25	412.9296936	Author_sent_the_data
P0011	P168	Braquart-Varnier_et_al_2015	Armadillidium_vulgare	NA	Other	Wolbachia	NA	Natural	Microinjection	Salmonella_typhimurium	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	NA	NA	Bacterial_load	NE_load	20	514800000	804580000	20	2130175000	4326451905	Author_sent_the_data
P0012	P168	Braquart-Varnier_et_al_2015	Porciello_dilatatus	NA	Other	Wolbachia	NA	Natural	Microinjection	Salmonella_typhimurium	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	NA	NA	Bacterial_load	NE_load	24	620416.6667	814989.8861	32	1726875	2182995.777	Author_sent_the_data
P0013	P078	Hendry_et_al_2014	Bemisia_tabaci	NA	Other	Other	NA	Natural	Natural	Psedomonas_syringae	Bacteria	872a	Generalist	24	Vigna_unguiculata	Oral	Natural	Lab	NA	NA	Bacterial_load	NE_load	3	377802	608360.697	3	204521	333930.1257	69_hours_post_infection
P0014	P078	Hendry_et_al_2014	Bemisia_tabaci	NA	Other	Other	NA	Natural	Natural	Psedomonas_syringae	Bacteria	dc3000	Generalist	24	Vigna_unguiculata	Oral	Natural	Lab	NA	NA	Bacterial_load	NE_load	3	256408	205758.5905	3	2207666.667	1093501.867	69_hours_post_infection
P0015	P121	Rottschaefer_and_Lazzaro,_2012	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	NA	Natural	Natural	Listeia_monocytogenes	Bacteria	NA	Generalist	25	Drosophila_medium	Stab	Antibiotic	Lab	Female	Adult	Bacterial_load	NE_load	3	2.587764035	1.1	3	2.570319528	1.1	NA
P0016	P121	Rottschaefer_and_Lazzaro,_2012	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	NA	Natural	Natural	Listeria_monocytogenes	Bacteria	NA	Generalist	25	Drosophila_medium	Stab	Natural	Lab	Female	Adult	Bacterial_load	NE_load	3	2.587764035	1.1	3	2.578700529	1.1	NA
P0017	P121	Rottschaefer_and_Lazzaro,_2012	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	NA	Natural	Natural	Providencia_rettgeri	Bacteria	NA	Generalist	25	Drosophila_medium	Stab	Antibiotic	Lab	Female	Adult	Bacterial_load	NE_load	3	2.674838067	0.91	3	2.672077541	0.91	NA
P0018	P121	Rottschaefer_and_Lazzaro,_2012	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	NA	Natural	Natural	Providencia_rettgeri	Bacteria	NA	Generalist	25	Drosophila_medium	Stab	Natural	Lab	Female	Adult	Bacterial_load	NE_load	3	2.674838067	0.91	3	2.653241965	0.91	NA
P0019	P121	Rottschaefer_and_Lazzaro,_2012	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	NA	Natural	Natural	Salmonella_typhimurium	Bacteria	NA	Generalist	25	Drosophila_medium	Stab	Antibiotic	Lab	Female	Adult	Bacterial_load	NE_load	3	2.192770227	1.34	3	2.22028985	1.34	NA
P0020	P121	Rottschaefer_and_Lazzaro,_2012	Drosophila_melanogaster	NA	Drosophilidae	Wolbachia	NA	Natural	Natural	Salmonella_typhimurium	Bacteria	NA	Generalist	25	Drosophila_medium	Stab	Natural	Lab	Female	Adult	Bacterial_load	NE_load	3	2.192770227	1.34	3	2.264883226	1.34	NA
P0021	P185	Suzuki_et_al_2016	Bombyx_mori	NA	Other	Other	NA	Not_natural	Microinjection	Staphylococcus_aureus	Bacteria	NA	Generalist	25	Silkmate_2M	Microinjection	Natural	Lab	NA	NA	Bacterial_load	NE_load	9	1140000	833318.812	9	4380000	3552569.75	48h_pi
P0022	P071	Wong_et_al_2011	Drosophila_melanogaster	ORC	Drosophilidae	Wolbachia	wMelCS	Natural	Natural	Pseudomonas_aeruginosa	Bacteria	PA01	Generalist	25	Cornmeal	Stab	Antibiotic	Lab	Male	Adult	Bacterial_load	NE_load	6	414.91	647.1046059	6	428.4	1147.475752	12h_pi
P0023	P148	Ye_et_al_2013	Aedes_aegypti	MGYP2	Culicidae	Wolbachia	wMel	Not_natural	Microinjection	Burkholderia_cepacia	Bacteria	NA	Generalist	26	Sucrose_solution	Stab	Natural	Lab	Female	Adult	Bacterial_load	NE_load	5	1.29	2.0124	5	1691.31	3416.4462	NA
P0024	P148	Ye_et_al_2013	Aedes_aegypti	PGYP1	Culicidae	Wolbachia	wMelPop	Not_natural	Microinjection	Burkholderia_cepacia	Bacteria	NA	Generalist	26	Sucrose_solution	Stab	Natural	Lab	Female	Adult	Bacterial_load	NE_load	5	3.29	5.1324	5	615.187	1242.67774	NA
P0025	P148	Ye_et_al_2013	Aedes_aegypti	MGYP2	Culicidae	Wolbachia	wMel	Not_natural	Microinjection	Erwinia_carotovora	Bacteria	NA	Generalist	26	Sucrose_solution	Stab	Natural	Lab	Female	Adult	Bacterial_load	NE_load	5	1.01	1.5756	5	25.22	50.9444	NA
P0026	P148	Ye_et_al_2013	Aedes_aegypti	PGYP1	Culicidae	Wolbachia	wMelPop	Not_natural	Microinjection	Erwinia_carotovora	Bacteria	NA	Generalist	26	Sucrose_solution	Stab	Natural	Lab	Female	Adult	Bacterial_load	NE_load	5	1.27	1.9812	5	28.1	56.762	NA
P0027	P148	Ye_et_al_2013	Aedes_aegypti	MGYP2	Culicidae	Wolbachia	wMel	Not_natural	Microinjection	Mycobacterium_marinum	Bacteria	NA	Generalist	26	Sucrose_solution	Stab	Natural	Lab	Female	Adult	Bacterial_load	NE_load	5	0.28	0.4368	5	0.18	0.3636	NA
P0028	P148	Ye_et_al_2013	Aedes_aegypti	PGYP1	Culicidae	Wolbachia	wMelPop	Not_natural	Microinjection	Mycobacterium_marinum	Bacteria	NA	Generalist	26	Sucrose_solution	Stab	Natural	Lab	Female	Adult	Bacterial_load	NE_load	5	0.06	0.0936	5	4.62	9.3324	NA
P0029	P148	Ye_et_al_2013	Aedes_aegypti	MGYP2	Culicidae	Wolbachia	wMel	Not_natural	Microinjection	Salmonella_typhimurium	Bacteria	NA	Generalist	26	Sucrose_solution	Stab	Natural	Lab	Female	Adult	Bacterial_load	NE_load	5	6.45	10.062	5	13.16	26.5832	NA
P0030	P148	Ye_et_al_2013	Aedes_aegypti	PGYP1	Culicidae	Wolbachia	wMelPop	Not_natural	Microinjection	Salmonella_typhimurium	Bacteria	NA	Generalist	26	Sucrose_solution	Stab	Natural	Lab	Female	Adult	Bacterial_load	NE_load	5	3.08	4.8048	5	12.33	24.9066	NA
P0031	P182	Kovacs_et_al_2017	Acyrthosiphon_pisum	5A	Aphididae	Other	NA	Natural	Natural	Harmonia_axyridis	Predator	NA	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Immature	Development_time	Development_time	49	19.22	1.79	62	19.37	1.62	NA
P0032	P182	Kovacs_et_al_2017	Acyrthosiphon_pisum	5A	Aphididae	Hamiltonella	NA	Natural	Natural	Harmonia_axyridis	Predator	NA	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Immature	Development_time	Development_time	58	18.82	1.39	62	19.37	1.62	NA
P0033	P182	Kovacs_et_al_2017	Acyrthosiphon_pisum	5A	Aphididae	Other	NA	Natural	Natural	Harmonia_axyridis	Predator	NA	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Immature	Development_time	Development_time	51	21.23	2.23	62	19.37	1.62	NA
P0034	P125	Schimid_et_al_2012	Aphis_fabae	A06-407	Aphididae	Hamiltonella	NA	Natural	Microinjection	Lysiphlebus_fabarum	Parasitoid	NA	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Immature	Development_time	Development_time	61	14.47	0.945040211	296	13.01	1.049483683	NA
P0035	P125	Schimid_et_al_2012	Aphis_fabae	A06-407	Aphididae	Hamiltonella	NA	Natural	Microinjection	Lysiphlebus_fabarum	Parasitoid	NA	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Immature	Development_time	Development_time	149	13.22	0.89107856	296	13.01	1.049483683	NA
P0036	P183	Costopoulos_et_al_2014	Acyrthosiphon_pisum	5A	Aphididae	Hamiltonella	NA	Natural	Natural	Hippodamia_convergens	Predator	NA	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Larva	Longevity	Survival	148	9.52	3.680908	124	12.76	5.548708091	From_survival_curve
P0037	P183	Costopoulos_et_al_2014	Acyrthosiphon_pisum	5A	Aphididae	Other	NA	Natural	Natural	Hippodamia_convergens	Predator	NA	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Larva	Longevity	Survival	73	7.5	2.899875	124	12.76	5.548708091	From_survival_curve
P0038	P009	Baton_et_al_2013	Aedes_fluviatilis	NA	Culicidae	Wolbachia	NA	Natural	Natural	Plasmodium_gallinaceum	Protozoan	8A	Generalist	27	Sucrose_solution	Oral	Antibiotic	Lab	Female	Adult	Oocyst_load	NE_load	31	93.9	63.0069	31	62.4	14.1648	exp4_post_tc
P0039	P028	Bian_et_al_2013	Anopheles_stephensi	NA	Culicidae	Wolbachia	wAlbB	Not_natural	Microinjection	Plasmodium_falsiparum	Protozoan	NA	Generalist	27	Sucrose_solution	Oral	Antibiotic	Lab	NA	Adult	Oocyst_load	NE_load	142	16.7	11.2057	110	21.2	4.8124	NA
