Paper_ES	Paper_ID	Paper	Host_spp	Host_strain	Host_family	Symbiont_spp	Symbio_line	Symbio_type	Symbio_introgression	Natural_enemy_spp	NE_group	NE_line	NE_type	Temperature	Rearing	NE_infection	Uninfected_symbio_strain	Experiment	Sex	Stage	Measure	Group_measure	N_t	Mean_t	SD_t	N_c	Mean_c	SD_c	Obs
P0160	P015	Berribeau_et_al_2010	Acyrthosiphon_pisum	5A	Aphididae	Hamiltonella	NA	Not_natural	Microinjection	Enterobacter	Bacteria	Ng5b	Generalist	20	Broad_bean	Stab	Natural	Lab	NA	Adult	Fecundity	Fecundity	17	21.84	10.26653301	20	28.7	7.91568064	NA
P0161	P015	Berribeau_et_al_2010	Acyrthosiphon_pisum	5A	Aphididae	Regiella	NA	Not_natural	Microinjection	Enterobacter	Bacteria	Ng5b	Generalist	20	Broad_bean	Stab	Natural	Lab	NA	Adult	Fecundity	Fecundity	20	30.57	8.407615595	20	28.7	7.91568064	NA
P0162	P015	Berribeau_et_al_2010	Acyrthosiphon_pisum	5A	Aphididae	Other	NA	Not_natural	Microinjection	Enterobacter	Bacteria	Ng5b	Generalist	20	Broad_bean	Stab	Natural	Lab	NA	Adult	Fecundity	Fecundity	20	21.88	11.40394669	20	28.7	7.91568064	NA
P0101	P188	Herren_&_Lemaitre,_2011	Drosophila_melanogaster	Oregon_R	Drosophilidae	Spiroplasma	NA	Natural	Microinjection	Erwinia_carotova	Bacteria	NA	Generalist	25	Cornmeal	Stab	Antibiotic	Lab	NA	Adult	Longevity	Survival	60	83.85	32.3661	60	120	52.176	NA
P0102	P188	Herren_&_Lemaitre,_2011	Drosophila_melanogaster	Oregon_R	Drosophilidae	Spiroplasma	NA	Natural	Microinjection	Enterobacter_cloacae	Bacteria	NA	Generalist	25	Cornmeal	Stab	Antibiotic	Lab	NA	Adult	Longevity	Survival	60	201.6	77.8176	60	300	130.44	NA
P0083	P168	Braquart-Varnier_et_al_2015	Armadillidium_vulgare 	BF	Other	Wolbachia	NA	Natural	Microinjection	Salmonella_typhimurium	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Female	Adult	Longevity	Survival	30	110	39.76	30	96.8	42.7	NA
P0084	P168	Braquart-Varnier_et_al_2015	Armadillidium_vulgare 	WX	Other	Wolbachia	NA	Natural	Microinjection	Salmonella_typhimurium	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Female	Adult	Longevity	Survival	30	93.33	48.11	30	72	39.49	NA
P0085	P168	Braquart-Varnier_et_al_2015	Armadillidium_vulgare 	BF	Other	Wolbachia	NA	Natural	Microinjection	Listeria_ivanovii	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Female	Adult	Longevity	Survival	31	137.93	34.27	31	113.93	45.94	NA
P0086	P168	Braquart-Varnier_et_al_2015	Armadillidium_vulgare 	WX	Other	Wolbachia	NA	Natural	Microinjection	Listeria_ivanovii	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Female	Adult	Longevity	Survival	31	125.41	43.8	32	79.93	51.72	NA
P0087	P168	Braquart-Varnier_et_al_2015	Porciello_dilatatus	NA	Other	Wolbachia	wCon	Natural	Microinjection	Listeria_ivanovii	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Female	Adult	Longevity	Survival	30	175.06	45.49	30	160.66	55.99	NA
P0088	P168	Braquart-Varnier_et_al_2015	Porciello_dilatatus	NA	Other	Wolbachia	wDil	Natural	Microinjection	Listeria_ivanovii	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Female	Adult	Longevity	Survival	30	135.73	59.27	30	160.66	55.99	NA
P0089	P168	Braquart-Varnier_et_al_2015	Porciello_dilatatus	NA	Other	Wolbachia	wCon	Natural	Microinjection	Listeria_ivanovii	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Male	Adult	Longevity	Survival	29	126.34	51.74	30	137.86	51.59	NA
P0090	P168	Braquart-Varnier_et_al_2015	Porciello_dilatatus	NA	Other	Wolbachia	wDil	Natural	Microinjection	Listeria_ivanovii	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Male	Adult	Longevity	Survival	31	133.54	58.52	30	137.86	51.59	NA
P0091	P168	Braquart-Varnier_et_al_2015	Porciello_dilatatus	NA	Other	Wolbachia	wCon	Natural	Microinjection	Salmonella_typhimurium	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Female	Adult	Longevity	Survival	30	25.83	14.42	30	24.7	12.9	NA
P0092	P168	Braquart-Varnier_et_al_2015	Porciello_dilatatus	NA	Other	Wolbachia	wDil	Natural	Microinjection	Salmonella_typhimurium	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Female	Adult	Longevity	Survival	20	46.35	16.47	30	24.7	12.9	NA
P0093	P168	Braquart-Varnier_et_al_2015	Porciello_dilatatus	NA	Other	Wolbachia	wCon	Natural	Microinjection	Salmonella_typhimurium	Bacteria	NA	Generalist	20	Soil	Microinjection	Natural	Lab	Male	Adult	Longevity	Survival	30	34.2	8.65	30	31.26	8.55	NA
