Paper_ES	Paper_ID	Paper	Host_spp	Host_strain	Host_family	Symbiont_spp	Symbio_line	Symbio_type	Symbio_introgression	Temperature	Rearing	Nutrition	Competition	Uninfected_symbio_strain	Experiment	Sex	Stage	Measure	Group_measure	N_t	Prop_t	Alive_t	Dead_t	N_c	Prop_c	Alive_c	Dead_c	Obs
P1508	P111	Zhang_et_al_2012	Sogatella_furcifera	NA	Other	Cardinium_Wolbachia	NA	Natural	Natural	25	Rice_seedlings	NA	NA	Natural	Lab	NA	Embryo	Egg_hatch	Survival	4221	0.897	3786	435	3547	0.905	3210	337	NA
P1507	P110	Zhao_et_al_2013_B	Tetranychus_truncatus	NA	Other	Cardinium_Wolbachia	NA	Natural	Natural	25	Phaseolus_vulgaris	NA	NA	Natural	Lab	NA	Embryo	Egg_hatch	Survival	773	0.949	734	39	858	0.967	830	28	NA
P1493	P128	Shan_et_al_2016	Bemisia_tabaci	MEAM1	Other	Hamiltonella_Rickettsia	NA	Natural	Natural	26	Cotton_plant	NA	NA	Antibiotic	Lab	NA	Embryo	Egg_hatch	Survival	727	0.862	627	100	765	0.781	597	168	NA
P1589	P128	Shan_et_al_2016	Bemisia_tabaci	MEAM1	Other	Hamiltonella_Rickettsia	NA	Natural	Natural	26	Cotton_plant	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	627	0.918	576	51	597	0.883	527	70	NA
P1578	P037	Lukasik_et_al_2011	Sitobion_avenae	Co08	Aphididae	Hamiltonella	Co08	Natural	Natural	NA	Wheat	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	200	0.834	167	33	200	0.786	157	43	NA
P1580	P037	Lukasik_et_al_2011	Sitobion_avenae	Co23	Aphididae	Hamiltonella	Co23	Natural	Natural	NA	Wheat	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	200	0.56	112	88	200	0.53	106	94	NA
P1581	P037	Lukasik_et_al_2011	Sitobion_avenae	Co26	Aphididae	Hamiltonella	Co26	Natural	Natural	NA	Wheat	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	200	0.675	135	65	200	0.742	148	52	NA
P1582	P037	Lukasik_et_al_2011	Sitobion_avenae	Co37	Aphididae	Hamiltonella	Co37	Natural	Natural	NA	Wheat	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	200	0.64	128	72	200	0.554	111	89	NA
P1528	P171	McLean_et_al_2018	Acyrthosiphon_pisum	161	Aphididae	Hamiltonella	NA	Natural	Natural	14	Broad_bean	NA	NA	Antibiotic	Lab	Female	Adult	Survival	Survival	14	0.344	5	9	14	0.376	5	9	NA
P1529	P171	McLean_et_al_2018	Acyrthosiphon_pisum	328	Aphididae	Hamiltonella	NA	Natural	Natural	14	Broad_bean	NA	NA	Antibiotic	Lab	Male	Adult	Survival	Survival	28	0.34	10	18	28	0.38	11	17	NA
P1530	P171	McLean_et_al_2018	Acyrthosiphon_pisum	328	Aphididae	Hamiltonella	NA	Natural	Natural	14	Broad_bean	NA	NA	Antibiotic	Lab	Female	Adult	Survival	Survival	14	0.351	5	9	14	0.265	4	10	NA
P1531	P171	McLean_et_al_2018	Acyrthosiphon_pisum	NA	Aphididae	Hamiltonella	NA	Natural	Natural	14	Broad_bean	NA	NA	Antibiotic	Lab	Male	Adult	Survival	Survival	28	0.269	8	20	28	0.34	10	18	NA
P1532	P171	McLean_et_al_2018	Acyrthosiphon_pisum	NA	Aphididae	Hamiltonella	NA	Natural	Natural	14	Broad_bean	NA	NA	Antibiotic	Lab	Female	Adult	Survival	Survival	14	0.304	4	10	14	0.332	5	9	NA
P1557	P098	Niepoth_et_al_2018	Acyrthosiphon_pisum	NA	Aphididae	Hamiltonella	NA	Natural	Microinjection	NA	Broad_bean	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	40	0.675	27	13	30	0.766666667	23	7	NA
P1558	P098	Niepoth_et_al_2018	Acyrthosiphon_pisum	101	Aphididae	Hamiltonella	NA	Natural	Microinjection	NA	Broad_bean	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	38	0.526315789	20	18	39	0.564102564	22	17	NA
P1559	P098	Niepoth_et_al_2018	Acyrthosiphon_pisum	NA	Aphididae	Hamiltonella	NA	Natural	Microinjection	NA	Broad_bean	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	27	0.814814815	22	5	32	0.84375	27	5	NA
P1560	P098	Niepoth_et_al_2018	Acyrthosiphon_pisum	NA	Aphididae	Hamiltonella	NA	Natural	Microinjection	NA	Broad_bean	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	132	0.386363636	51	81	30	0.766666667	23	7	NA
P1561	P098	Niepoth_et_al_2018	Acyrthosiphon_pisum	101	Aphididae	Hamiltonella	NA	Natural	Microinjection	NA	Broad_bean	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	55	0.436363636	24	31	39	0.564102564	22	17	NA
P1562	P098	Niepoth_et_al_2018	Acyrthosiphon_pisum	NA	Aphididae	Hamiltonella	NA	Natural	Microinjection	NA	Broad_bean	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	36	0.722222222	26	10	32	0.84375	27	5	NA
P1563	P177	Russell_&_Moran,_2005	Acyrthosiphon_pisum	5A	Aphididae	Hamiltonella	NA	Not_natural	Microinjection	20	Broad_bean	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	56	0.964285714	54	2	55	0.818181818	45	10	NA
P1564	P177	Russell_&_Moran,_2005	Acyrthosiphon_pisum	5A	Aphididae	Hamiltonella	NA	Natural	Microinjection	20	Broad_bean	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	53	0.830188679	44	9	55	0.818181818	45	10	NA
P1590	P134	Su_et_al_2013	Bemisia_tabaci	MED	Other	Hamiltonella	NA	Natural	Natural	26	Poinsettia	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	2000	0.609	1218	782	1085	0.427	463	622	NA
P1494	P112	Zhang_et_al_2015	Bemisia_tabaci	MED	Other	Hamiltonella	NA	Natural	Natural	26	Gossypium_hirsutum	NA	NA	Antibiotic	Lab	NA	Embryo	Egg_hatch	Survival	1500	0.928	1392	108	1453	0.863	1254	199	NA
P1596	P049	Ghosh_et_al_2018	Bemisia_tabaci	NA	Other	Other	NA	Natural	Natural	27	Cassava	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	89	0.32	28	61	83	0.64	53	30	NA
P1515	P103	Oliver_et_al_2006	Acyrthosiphon_pisum	NA	Aphididae	Other	NA	Natural	Microinjection	20	Broad_bean	NA	NA	Natural	Lab	NA	Adult	Survival	Survival	64	0.5625	36	28	64	0.953125	61	3	NA
P1509	P146	Xu_et_al_2014	Helicoperva_armigera	NA	Other	Other	NA	Natural	Natural	25	NA	NA	NA	Natural	Lab	NA	Embryo	Egg_hatch	Survival	22630	0.429916041	9729	12901	19344	0.35483871	6864	12480	NA
P1579	P037	Lukasik_et_al_2011	Sitobion_avenae	NA	Aphididae	Regiella	Co21	Natural	Natural	NA	Wheat	NA	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	200	0.839	168	32	200	0.848	170	30	NA
P1533	P171	McLean_et_al_2018	Acyrthosiphon_pisum	NA	Aphididae	Regiella	NA	Natural	Natural	14	Broad_bean	NA	NA	Antibiotic	Lab	Male	Adult	Survival	Survival	28	0.257	7	21	28	0.4	11	17	NA
P1534	P171	McLean_et_al_2018	Acyrthosiphon_pisum	NA	Aphididae	Regiella	NA	Natural	Natural	14	Broad_bean	NA	NA	Antibiotic	Lab	Female	Adult	Survival	Survival	14	0.394	6	8	14	0.452	6	8	NA
P1517	P106	Parker_et_al_2013	Acyrthosiphon_pisum	NA	Aphididae	Regiella	NA	NA	NA	20	Broad_bean	NA	NA	Antibiotic	Lab	NA	Adult	Survival	Survival	44	0.614	27	17	46	0.694	32	14	NA
P1537	P038	Cass_et_al_2016	Bemisia_tabaci	NA	Other	Rickettsia	NA	Natural	Natural	NA	NA	NA	NA	Natural	Lab	Female	Adult	Survival	Survival	176	0.65	114	62	107	0.483	52	55	NA
P1538	P038	Cass_et_al_2016	Bemisia_tabaci	NA	Other	Rickettsia	NA	Natural	Natural	NA	NA	NA	NA	Natural	Lab	Male	Adult	Survival	Survival	43	0.381	16	27	54	0.23	12	42	NA
P1539	P038	Cass_et_al_2016	Bemisia_tabaci	NA	Other	Rickettsia	NA	Natural	Natural	NA	NA	NA	NA	Natural	Lab	Female	Adult	Survival	Survival	114	0.26	30	84	79	0.589	47	32	NA
P1540	P038	Cass_et_al_2016	Bemisia_tabaci	NA	Other	Rickettsia	NA	Natural	Natural	NA	NA	NA	NA	Natural	Lab	Male	Adult	Survival	Survival	43	0.14	6	37	78	0.19	15	63	NA
P1541	P038	Cass_et_al_2016	Bemisia_tabaci	NA	Other	Rickettsia	NA	Natural	Natural	NA	Cowpea	NA	NA	Natural	Lab	Female	Adult	Survival	Survival	221	0.334	74	147	218	0.34	74	144	NA
P1542	P038	Cass_et_al_2016	Bemisia_tabaci	NA	Other	Rickettsia	NA	Natural	Natural	NA	Cowpea	NA	NA	Natural	Lab	Female	Adult	Survival	Survival	215	0.325	70	145	205	0.377	77	128	NA
P1597	P038	Cass_et_al_2016	Bemisia_tabaci	NA	Other	Rickettsia	NA	Natural	Natural	27	Cowpea	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	5655	0.42	2375	3280	3097	0.4	1239	1858	NA
P1598	P038	Cass_et_al_2016	Bemisia_tabaci	NA	Other	Rickettsia	NA	Natural	Natural	27	Cowpea	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	5022	0.41	2059	2963	3843	0.5	1922	1922	NA
P1594	P042	Chiel_et_al_2009	Bemisia_tabaci	NA	Other	Rickettsia	NA	Natural	Natural	25	Tobacco	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	560	0.66	370	190	533	0.75	400	133	NA
P1599	P079	Himler_et_al_2011	Bemisia_tabaci	NA	Other	Rickettsia	NA	Natural	Natural	27	Cowpea	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	25	0.796	20	5	25	0.473	12	13	NA
P1505	P157	Sontowski_et_al_2018	Chrysoperla_carnea	NA	Other	Rickettsia	NA	Natural	Natural	22	Honey_water_yeast	NA	NA	Natural	Lab	NA	Embryo	Egg_hatch	Survival	170	0.7	119	51	114	0.73	83	31	NA
P1616	P157	Sontowski_et_al_2018	Chrysoperla_carnea	NA	Other	Rickettsia	NA	Natural	Natural	22	Honey_water_yeast	NA	NA	Natural	Lab	NA	Larva	Survival	Survival	119	0.21	25	94	83	0.28	23	60	NA
P1627	P157	Sontowski_et_al_2018	Chrysoperla_carnea	NA	Other	Rickettsia	NA	Natural	Natural	22	Honey_water_yeast	NA	NA	Natural	Lab	NA	Pupa	Survival	Survival	25	0.14	4	22	23	0.25	6	17	NA
P1603	P116	Pons_et_al_2019	Aphis_fabae	A06-407	Aphididae	Serratia	NA	Natural	NA	18	Broad_bean	NA	NA	Natural	Lab	NA	Immature	Survival	Survival	35	0.74	26	9	35	0.91	32	3	NA
