Paper_ES	Paper_ID	Paper	Host_spp	Host_strain	Host_family	Symbiont_spp	Symbio_line	Symbio_type	Symbio_introgression	Natural_enemy_spp	NE_group	NE_line	NE_type	Temperature	Rearing	NE_infection	Uninfected_symbio_strain	Experiment	Sex	Stage	Measure	Group_measure	N_t	Prop_t	Alive_t	Dead_t	N_c	Prop_c	Alive_c	Dead_c	Obs
P0236	P055	Asplen_et_al_2014	Aphis_craccivora	AC1	Aphididae	Hamiltonella	NA	Natural	Natural	Aphidius_colemani	Parasitoid	NA	Generalist	25	Broad_bean	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	24	0.76	18	6	23	0.82	19	4	NA
P0237	P055	Asplen_et_al_2014	Aphis_craccivora	AC1	Aphididae	Hamiltonella	NA	Natural	Natural	Lysiphlebus_orientalis	Parasitoid	NA	Generalist	25	Broad_bean	NA	Antibiotic	Lab	NA	Immature	Survival	Survival	11	0.66	7	4	15	0.72	11	4	NA
P0238	P024	Ballinger_et_al_2017	Drosophila_melanogaster	Oregon-R	Drosophilidae	Spiroplasma	MSRO	Not_natural	Microinjection	Leptopilina_heterotoma	Parasitoid	Lh14	Generalist	NA	Instant_Drosophila_medium	NA	Natural	Lab	NA	Immature	Survival	Survival	240	4.16667E-07	0	240	240	0.116666667	28	212	NA
P0239	P024	Ballinger_et_al_2017	Drosophila_melanogaster	Oregon-R	Drosophilidae	Spiroplasma	MSRO	Not_natural	Microinjection	Pachycrepoideus_vindemmiae	Parasitoid	NA	Generalist	NA	Instant_Drosophila_medium	NA	Natural	Lab	NA	Immature	Survival	Survival	60	0.216666667	6	54	60	0.116666667	7	53	NA
P0240	P024	Ballinger_et_al_2017	Drosophila_melanogaster	Oregon-R	Drosophilidae	Spiroplasma	MSRO	Not_natural	Microinjection	Leptopilina_boulardi	Parasitoid	Lb17	Specialist	NA	Instant_Drosophila_medium	NA	Natural	Lab	NA	Immature	Survival	Survival	80	0.00000125	0	80	80	0.1125	9	71	From_raw_data
P0241	P024	Ballinger_et_al_2017	Drosophila_neotestacea	NA	Drosophilidae	Spiroplasma	NA	Natural	Natural	Leptopilina_heterotoma	Parasitoid	Lh14	Generalist	NA	Agaricus_bisporus	NA	Natural	Lab	NA	Immature	Survival	Survival	80	0.00000125	0	80	80	0.0625	5	75	NA
P0242	P043	Clarke_et_al_2017	Macrosiphum_euphorbiae	NA	Aphididae	Hamiltonella	NA	Natural	Natural	Aphidius_ervi	Parasitoid	NA	Generalist	18	Solanum_turberosum	NA	Natural	Lab	NA	Larva	Survival	Survival	600	0.315	189	411	540	0.44	240	300	NA
P0243	P072	Dion_et_al_2011	Acyrthosiphon_pisum	NA	Aphididae	Hamiltonella	NA	Natural	Natural	Aphidius_ervi	Parasitoid	NA	Generalist	20	Broad_bean	NA	Natural	Lab	NA	NA	Survival	Survival	400	0.080875	32	368	200	0.71	142	58	NA
P0244	P065	Donald_et_al_2016	Acyrthosiphon_pisum	NA	Aphididae	Other	NA	Natural	Natural	Aphidius_ervi	Parasitoid	NA	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Larva	Survival	Survival	112	0	0	112	132	0.4625	61	71	NA
P0245	P065	Donald_et_al_2016	Acyrthosiphon_pisum	NA	Aphididae	Other	NA	Natural	Natural	Aphidius_ervi	Parasitoid	NA	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Larva	Survival	Survival	74	0	0	74	126	0.7595	96	30	NA
