Paper_ES	Paper_ID	Paper	Host_spp	Host_strain	Host_family	Symbiont_spp	Symbio_line	Symbio_type	Symbio_introgression	Natural_enemy_spp	NE_group	NE_line	NE_type	Temperature	Rearing	NE_infection	Uninfected_symbio_strain	Experiment	Sex	Stage	Measure	Group_measure	N_t	Prop_t	Alive_t	Dead_t	N_c	Prop_c	Alive_c	Dead_c	Obs
P0239	P025	Ayoubi_et_al_2018	Aphis_gossypii	NA	Aphididae	Other	NA	Natural	Natural	Aphidius_matricariae	Parasitoid	NA	Generalist	22	Cucumber	NA	Antibiotic	Lab	NA	Immature	Parasitism	Infection	2400	0.49	1224	1176	2400	0.527	1135	1265	Figure_6B,_30_replicates_with_80_aphids
P0889	P049	Ghosh_et_al_2018	Bemisia_tabaci	NA	Other	Other	NA	Natural	Natural	Begomovirus	Virus	NA	Generalist	27	Cassava_plants	Oral	Natural	Lab	NA	Adult	Infection	Infection	67	0.611940299	26	41	81	0.87654321	10	71	NA
P1153	P049	Ghosh_et_al_2018	Bemisia_tabaci	NA	Other	Other	NA	Natural	Natural	Begomovirus	Virus	NA	Generalist	27	Cassava_plants	Oral	Natural	Lab	NA	Immature	Survival	Survival	63	0.42	26	37	50	0.59	30	21	NA
P0177	P066	Doremus_et_al_2018	Acyrthosiphon_pisum	5D	Aphididae	Hamiltonella	APSE8	Natural	Microinjection	Aphidius_ervi	Parasitoid	NA	Generalist	NA	Broad_bean	NA	Antibiotic	Lab	NA	Immature	Parasitism	Infection	160	0.46	86	74	160	0.543	73	87	NA
P0183	P066	Doremus_et_al_2018	Acyrthosiphon_pisum	5A	Aphididae	Hamiltonella	NA	Natural	Microinjection	Aphidius_ervi	Parasitoid	NA	Generalist	NA	Broad_bean	NA	NA	Lab	NA	Immature	Parasitism	Infection	160	0.456	87	73	160	0.425	92	68	NA
P0184	P066	Doremus_et_al_2018	Acyrthosiphon_pisum	A2E	Aphididae	Hamiltonella	NA	Natural	Microinjection	Aphidius_ervi	Parasitoid	NA	Generalist	NA	Broad_bean	NA	NA	Lab	NA	Immature	Parasitism	Infection	160	0.487	82	78	160	0.406	95	65	NA
P0185	P066	Doremus_et_al_2018	Acyrthosiphon_pisum	5A	Aphididae	Hamiltonella	NA	Natural	Microinjection	Aphidius_ervi	Parasitoid	NA	Generalist	NA	Broad_bean	NA	NA	Lab	NA	Immature	Parasitism	Infection	160	0.406	95	65	160	0.425	92	68	NA
P0186	P066	Doremus_et_al_2018	Acyrthosiphon_pisum	5A	Aphididae	Hamiltonella	NA	Natural	Microinjection	Aphidius_ervi	Parasitoid	NA	Generalist	NA	Broad_bean	NA	NA	Lab	NA	Immature	Parasitism	Infection	160	0.231	123	37	160	0.2	128	32	NA
P0187	P066	Doremus_et_al_2018	Acyrthosiphon_pisum	A2E	Aphididae	Hamiltonella	NA	Natural	Microinjection	Aphidius_ervi	Parasitoid	NA	Generalist	NA	Broad_bean	NA	NA	Lab	NA	Immature	Parasitism	Infection	160	0.23	123	37	160	0.23	123	37	NA
P0188	P066	Doremus_et_al_2018	Acyrthosiphon_pisum	5A	Aphididae	Hamiltonella	NA	Natural	Microinjection	Aphidius_ervi	Parasitoid	NA	Generalist	NA	Broad_bean	NA	NA	Lab	NA	Immature	Parasitism	Infection	160	0.193	129	31	160	0.2	128	32	NA
P0192	P125	Schimid_et_al_2012	Aphis_fabae	A06-407	Aphididae	Hamiltonella	H323	Natural	Microinjection	Lysiphlebus_fabarum	Parasitoid	06-015	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Immature	Parasitism	Infection	700	0.068	652	48	700	0.27	511	189	7_replicates,_5_ages
P0193	P125	Schimid_et_al_2012	Aphis_fabae	A06-407	Aphididae	Hamiltonella	H76	Natural	Microinjection	Lysiphlebus_fabarum	Parasitoid	06-015	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Immature	Parasitism	Infection	700	0	700	0	700	0.27	511	189	7_replicates,_5_ages
P0194	P125	Schimid_et_al_2012	Aphis_fabae	A06-407	Aphididae	Hamiltonella	H323	Natural	Microinjection	Lysiphlebus_fabarum	Parasitoid	07-064	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Immature	Parasitism	Infection	700	0.227	541	159	700	0.248	526	174	7_replicates,_5_ages
P0195	P125	Schimid_et_al_2012	Aphis_fabae	A06-407	Aphididae	Hamiltonella	H76	Natural	Microinjection	Lysiphlebus_fabarum	Parasitoid	07-064	Generalist	20	Broad_bean	NA	Natural	Lab	NA	Immature	Parasitism	Infection	700	0.041	671	29	700	0.248	526	174	7_replicates,_5_ages
